MODEL,domain,scenario,TIME_STEP,rur_attr,environmental_attr,economy_attr,social_attr,anthropic_attr,broadband_infrastructure_population_covered,workforce_specialization,farms,tourist_visitors,Natural_Capital,proportion_of_newcomers,shared_knowledge,social_innovation,proportion_INFANTS,proportion_ELDERLY_POPULATION,proportion_SCHOOL_AGE_POPULATION,proportion_POST_SCHOOL_POPULATION,proportion_WORKING_AGE_POPULATION,proportion_NEWCOMERS
Apulia,INFR,INFR mix,2015.0,0.5421794019838123,0.4983972767425363,0.7813842942216833,0.40928779518499525,0.9215686274509799,0.9215686274509799,0.48695556691490044,1.0,1.0,0.4983972767425363,0.28974432067469635,1.0,0.8622460962224577,0.07780858354965359,0.8706025907835593,0.08384100379838137,0.005403316028147119,0.20419992493336545,0.28974432067469635
Apulia,INFR,INFR mix,2015.25,0.5450324754107918,0.4963381401398962,0.7827660761869966,0.4129582527573448,0.9275599128540299,0.9275599128540299,0.48993232794105646,1.0,1.0,0.4963381401398962,0.30623357387969086,1.0,0.8593939918125377,0.07747044836540797,0.8721640138621298,0.08264929746484281,0.011541617981248002,0.20093775757055488,0.30623357387969086
Apulia,INFR,INFR mix,2015.5,0.5476996803652459,0.4942176919644702,0.7841148970865214,0.4163578932978706,0.9335511982570801,0.9335511982570801,0.4928055952110565,1.0,1.0,0.4942176919644702,0.32172499199483134,1.0,0.8566719079597117,0.07716786946798798,0.8736804090099393,0.08149508113711385,0.016862927649374748,0.19789286046704468,0.32172499199483134
Apulia,INFR,INFR mix,2015.75,0.5502013717047917,0.4920402613824945,0.785432970735949,0.41951715002081535,0.9395424836601302,0.9395424836601302,0.4955821086371201,1.0,1.0,0.4920402613824945,0.33630217638274434,1.0,0.8540832738366574,0.07690003018113255,0.8751523361889316,0.08039344675278,0.021468558154684875,0.1950523523076631,0.33630217638274434
Apulia,INFR,INFR mix,2016.0,0.5525587862889281,0.4898101694923092,0.7867223259985057,0.42246793089471835,0.9455337690631802,0.9455337690631802,0.498267691437039,1.0,1.0,0.4898101694923092,0.3500940647999196,1.0,0.8516221579035125,0.07666601497401182,0.876583923240805,0.07933508996946978,0.025406376551948363,0.19240968581287884,0.3500940647999196
Apulia,INFR,INFR mix,2016.25,0.5541123753704245,0.4875317151324991,0.7861123622800194,0.4252234937539827,0.9455337690631802,0.9455337690631802,0.4974963272044175,1.0,1.0,0.4875317151324991,0.363146755415698,1.0,0.8492835029174298,0.07646437729328721,0.87797740450924,0.07831673808493939,0.028716948195163083,0.18995896195438938,0.363146755415698
Apulia,INFR,INFR mix,2016.5,0.5543723911267114,0.4853516927533906,0.7853955488075708,0.4260261924151228,0.9455337690631802,0.9455337690631802,0.49609228222128293,1.0,1.0,0.4853516927533906,0.3680498704249558,1.0,0.8470631279939719,0.07493582186927832,0.87940115457249,0.0773752552096815,0.031482058905894235,0.18787857233487762,0.3680498704249558
Apulia,INFR,INFR mix,2016.75,0.5535711069747139,0.48328530798203706,0.7847047159724341,0.42516354642042503,0.9455337690631802,0.9455337690631802,0.4947045028169529,1.0,1.0,0.48328530798203706,0.3661043867286406,1.0,0.8449098137384417,0.07215287672495888,0.8808628477300112,0.07648526977979367,0.033685907897582114,0.18616642845575632,0.3661043867286406
Apulia,INFR,INFR mix,2017.0,0.5526717586156868,0.48134749818000006,0.7840427039586517,0.42413234453626175,0.9455337690631802,0.9455337690631802,0.49333225255007845,1.0,1.0,0.48134749818000006,0.3640372598674372,1.0,0.842796762763132,0.06818290457886676,0.8823689093719687,0.07562144259512993,0.03532881401571648,0.1848177477666679,0.3640372598674372
Apulia,INFR,INFR mix,2017.25,0.5516886490545996,0.4795566872374639,0.7834130873203168,0.4229528500180901,0.9455337690631802,0.9455337690631802,0.49197498030093967,1.0,1.0,0.4795566872374639,0.36190054315269793,1.0,0.8407320308980348,0.06308966709910484,0.8839213117289119,0.07475946968634099,0.03645098638694105,0.18382109805808114,0.36190054315269793
Apulia,INFR,INFR mix,2017.5,0.5506959004256268,0.477917381213353,0.7828166238731173,0.4217399429547986,0.9455337690631802,0.9455337690631802,0.49063196908905327,1.0,1.0,0.477917381213353,0.3596630234116242,1.0,0.8387247408070386,0.05828675473961571,0.8854611158437103,0.07382694734661917,0.03705278917335333,0.18298109185960212,0.3596630234116242
Apulia,INFR,INFR mix,2017.75,0.5497013155373508,0.4764321781788017,0.7822537630576619,0.4205055113594,0.9455337690631802,0.9455337690631802,0.48930286804632783,1.0,1.0,0.4764321781788017,0.3573654061590308,1.0,0.8367844052724398,0.05375878505636778,0.88698968056888,0.0728262877110912,0.03717099741646072,0.18228863389129907,0.3573654061590308
Apulia,INFR,INFR mix,2018.0,0.5487284068236112,0.4751017829401175,0.7817245841113225,0.419286086108216,0.9455337690631802,0.9455337690631802,0.48798736855331487,1.0,1.0,0.4751017829401175,0.3550410790298847,1.0,0.8349143745066538,0.04949113327901379,0.8884809274358634,0.07174610795860659,0.03718250861402612,0.18167756512001115,0.3550410790298847
Apulia,INFR,INFR mix,2018.25,0.5477834614360287,0.4739252145616065,0.781228844619785,0.4180915818894974,0.9455337690631802,0.9455337690631802,0.4866852394741379,1.0,1.0,0.4739252145616065,0.3527167207187974,1.0,0.8331167246395857,0.04547004524776241,0.8899300081702054,0.07059091903371019,0.03714619076057986,0.18113690771603835,0.3527167207187974
Apulia,INFR,INFR mix,2018.5,0.5468752305389917,0.47289998669929223,0.7807659964960149,0.41693591611842334,0.9455337690631802,0.9455337690631802,0.48539622671760196,1.0,1.0,0.47289998669929223,0.3504416468726692,1.0,0.8314236046788829,0.0416835598076148,0.891337242025862,0.06936597787269361,0.0370642727585703,0.1806652941768479,0.3504416468726692
Apulia,INFR,INFR mix,2018.75,0.5460021875530515,0.47188788153016437,0.7803082360422368,0.41583216061461536,0.9455337690631802,0.9455337690631802,0.4841195296178393,1.0,1.0,0.47188788153016437,0.34822816664500095,1.0,0.8299418481702233,0.03811922475257995,0.8927156602097936,0.06805416218705944,0.03694591754307293,0.18025629937880697,0.34822816664500095
Apulia,INFR,INFR mix,2019.0,0.5451642418917663,0.4708891017028352,0.7798555308711478,0.4147801924587766,0.9455337690631802,0.9455337690631802,0.48285478358972383,1.0,1.0,0.4708891017028352,0.34608684592885036,1.0,0.8286593494668838,0.034765151131895676,0.8940692829420227,0.0666528364020383,0.036794311088971375,0.17990710923947684,0.34608684592885036
Apulia,INFR,INFR mix,2019.25,0.5443617559529705,0.4699157420819247,0.779410260576575,0.4137792533843015,0.9455337690631802,0.9455337690631802,0.48160179173777024,1.0,1.0,0.4699157420819247,0.34402487757033573,1.0,0.8275633585391521,0.03161006569802404,0.8953987489183101,0.06516456504070552,0.03661057481100417,0.17961621231084607,0.34402487757033573
Apulia,INFR,INFR mix,2019.5,0.5435930932216324,0.46896726992634435,0.7789722819271125,0.41282687727414347,0.9455337690631802,0.9455337690631802,0.48036037064603804,1.0,1.0,0.46896726992634435,0.3420470735246744,1.0,0.8266407017700926,0.028643236238700836,0.8967048184703974,0.06358487686666113,0.03639233200735804,0.17938178306473254,0.3420470735246744
Apulia,INFR,INFR mix,2019.75,0.5428557075928723,0.46804332222902606,0.7785414503017691,0.4119191838657073,0.9455337690631802,0.9455337690631802,0.4791301602166395,1.0,1.0,0.46804332222902606,0.34015612923613703,1.0,0.8258786314392298,0.02585449698735453,0.8979951579404869,0.061911882976127236,0.03611551022825034,0.17920471674764277,0.34015612923613703
Apulia,INFR,INFR mix,2020.0,0.5421469375399993,0.46714350978361335,0.7781174695923515,0.41105219751091476,0.9455337690631802,0.9455337690631802,0.47791006911496414,1.0,1.0,0.46714350978361335,0.33835468901346644,1.0,0.8252642242806183,0.023234219909130646,0.8992932656877396,0.06011266664135879,0.03577988408329529,0.1790761389691577,0.33835468901346644
Apulia,INFR,INFR mix,2020.25,0.5414647340308628,0.46626742437897084,0.7777001217232656,0.4102228519795279,0.9455337690631802,0.9455337690631802,0.476699415174177,1.0,1.0,0.46626742437897084,0.3366449367135551,1.0,0.8247839839559447,0.020773035044149686,0.9006133258389687,0.05816757197537324,0.035388900687081205,0.1789889768871235,0.3366449367135551
Apulia,INFR,INFR mix,2020.5,0.5408077191608287,0.4654147440014542,0.7772893268661429,0.409429048213432,0.9455337690631802,0.9455337690631802,0.4754981212660805,1.0,1.0,0.4654147440014542,0.33502479638259863,1.0,0.8244250053124272,0.01846211013825918,0.9019567160847962,0.056084519305800405,0.03494205306012476,0.1789414372542828,0.33502479638259863
Apulia,INFR,INFR mix,2020.75,0.5401740025854973,0.464585005011757,0.7768849804659996,0.408667903762996,0.9455337690631802,0.9455337690631802,0.4743061282550613,1.0,1.0,0.464585005011757,0.3334944167368475,1.0,0.8241742464011292,0.01629330157994806,0.9033246876900225,0.053862908562294795,0.034435428361027906,0.17893172779884636,0.3334944167368475
Apulia,INFR,INFR mix,2021.0,0.5394899568993731,0.462870651168585,0.7763055598555849,0.407925733034811,0.9455337690631802,0.9455337690631802,0.4731233790461591,1.0,1.0,0.462870651168585,0.3320517230749073,1.0,0.823930330129876,0.014258898823273492,0.9047239711208928,0.05150051916941739,0.03386360678397754,0.17895082513604715,0.3320517230749073
Apulia,INFR,INFR mix,2021.25,0.538698414183904,0.45971933399267045,0.7754404180671806,0.4071750786931949,0.9455337690631802,0.9455337690631802,0.4719489872800517,1.0,1.0,0.45971933399267045,0.330694572961946,1.0,0.8234770555641094,0.01235161528726397,0.906174377420353,0.04896241885465352,0.033231855014259876,0.17898924017422185,0.330694572961946
Apulia,INFR,INFR mix,2021.5,0.5379262609786605,0.45651403170738114,0.7745657074162645,0.4064599018466581,0.9455337690631802,0.9455337690631802,0.4707807363107615,1.0,1.0,0.45651403170738114,0.32956205386741816,1.0,0.8230192658149035,0.010536353138763785,0.9078171426279042,0.0462198837956464,0.03252905291957124,0.17889331058829752,0.32956205386741816
Apulia,INFR,INFR mix,2021.75,0.5371742344720981,0.4533269809709011,0.7736959273533464,0.40577329398251566,0.9455337690631802,0.9455337690631802,0.4696188867326508,1.0,1.0,0.4533269809709011,0.3286393922449543,1.0,0.822552893091544,0.008809069103392936,0.9096452723793838,0.043257509027408034,0.031749173523779636,0.17866694422722396,0.3286393922449543
Apulia,INFR,INFR mix,2022.0,0.5364385432826836,0.45016540107965053,0.7728325581147379,0.4051085350426534,0.9455337690631802,0.9455337690631802,0.4684636204308589,1.0,1.0,0.45016540107965053,0.32791493897785556,1.0,0.8220740631494761,0.007165606746018229,0.9116542619713004,0.04005580912250228,0.030883829504240345,0.17831336693463232,0.32791493897785556
Apulia,INFR,INFR mix,2022.25,0.5356434382559262,0.44703096309642903,0.771774351454493,0.40445959759005556,0.9445245756130028,0.9445245756130028,0.46731621856303296,1.0,1.0,0.44703096309642903,0.32737798945512253,1.0,0.8215777902461167,0.005601961667996346,0.913837028263022,0.03660077009394488,0.029928992911509345,0.17783385621766584,0.32737798945512253
Apulia,INFR,INFR mix,2022.5,0.5347558729912437,0.4439235068724511,0.7707155594101263,0.4036671583140866,0.9434772778657013,0.9434772778657013,0.4661770123124789,1.0,1.0,0.4439235068724511,0.32702695724465775,0.9986072661039145,0.8210600274637664,0.004115320176707542,0.9161722989356169,0.032838373921636715,0.028880890699083464,0.17727633303673854,0.32702695724465775
Apulia,INFR,INFR mix,2022.75,0.5338522070433982,0.44084295542454277,0.7696556356460192,0.4028503022641641,0.9423896762299797,0.9423896762299797,0.46504554657557345,1.0,1.0,0.44084295542454277,0.3268431908507804,0.996969107517241,0.8205173332154264,0.0027013376473278145,0.9186725265725052,0.028732103391049976,0.02774058547048004,0.17663334486188575,0.3268431908507804
Apulia,INFR,INFR mix,2023.0,0.532949417113813,0.43778921995169545,0.7685933058508689,0.4020361455932266,0.94125939849624,0.94125939849624,0.46391791080640893,1.0,1.0,0.43778921995169545,0.3268089915397672,0.9954852246509869,0.8199463081959738,0.0013559556884625618,0.9214328004365008,0.024080133978951014,0.02654343136705949,0.17586347294157012,0.3268089915397672
Apulia,INFR,INFR mix,2023.25,0.5320415358730972,0.434762121260784,0.7675281537073851,0.4012156370762705,0.9400838825644091,0.9400838825644091,0.46279476471173253,1.0,1.0,0.434762121260784,0.32690843289573707,0.9941355900376939,0.8193436160239455,7.519552978630551e-05,0.9244414109922555,0.018880535008092135,0.025278099354646887,0.1749694209485401,0.32690843289573707
Apulia,INFR,INFR mix,2023.5,0.5312044250914444,0.43176149106930256,0.7664597156133831,0.40050704146814486,0.9388603570555141,0.9388603570555141,0.46167672994209885,1.0,1.0,0.43176149106930256,0.32712641988797136,0.9929013765431882,0.8187060227947255,0.0,0.9276886732804192,0.013129781074556852,0.02393036923587806,0.1739543105085937,0.32712641988797136
Apulia,INFR,INFR mix,2023.75,0.5303524182481204,0.4287871691084208,0.765387492139025,0.3997773771976178,0.9375858194981893,0.9375858194981893,0.46056447208851514,1.0,1.0,0.4287871691084208,0.32744873515731016,0.9917649254585196,0.8180304246398936,0.0,0.9311634842829614,0.006826524104760242,0.0224931670782987,0.17282039889950668,0.32744873515731016
Apulia,INFR,INFR mix,2024.0,0.5294771437584442,0.42583900081443166,0.7643108706345976,0.3990139621605812,0.9362570117287091,0.9362570117287091,0.45945834062984736,1.0,1.0,0.42583900081443166,0.3278692490810515,0.990696171725101,0.8173109837127287,0.0,0.9348619690373744,0.0,0.020954995529013552,0.1715630412789099,0.3278692490810515
Apulia,INFR,INFR mix,2024.25,0.5290630774153587,0.42291686227868097,0.7632300660020676,0.3989703059782983,0.9348703920802389,0.9348703920802389,0.45836307565141726,1.0,1.0,0.42291686227868097,0.32839867957514846,0.989625454306578,0.8165334255971987,0.0,0.9387943050371816,0.0,0.019307459031127613,0.16967475068230242,0.32839867957514846
Apulia,INFR,INFR mix,2024.5,0.528651297620735,0.4200207255952471,0.7621445372082184,0.3989328311832442,0.9334221038615172,0.9334221038615172,0.45727985658432774,1.0,1.0,0.4200207255952471,0.329025894108694,0.9885422198085871,0.8156958511182129,0.0,0.9429516874255309,0.0,0.017541487473919537,0.16761244660555963,0.329025894108694
Apulia,INFR,INFR mix,2024.75,0.5282398443878191,0.4171505629653966,0.7610533863003461,0.39889898776974847,0.9319079395342496,0.9319079395342496,0.4562084290020847,1.0,1.0,0.4171505629653966,0.32974104947935473,0.9874368729363139,0.8147965691867699,0.0,0.947323230640881,0.0,0.015657030276623227,0.1653950879284396,0.32974104947935473
Apulia,INFR,INFR mix,2025.0,0.5278283968932097,0.4143063400951288,0.7599556226770872,0.39886882701327786,0.9303232998885165,0.9303232998885165,0.455148473401791,1.0,1.0,0.4143063400951288,0.33053606457354345,0.9863007635255736,0.8138341085245003,0.0,0.9519322668780607,0.0,0.013665848177217848,0.16301432686706108,0.33053606457354345
Apulia,INFR,INFR mix,2025.25,0.5274196312225394,0.41148798535874953,0.7588501623534536,0.39884711392758715,0.9286631473819367,0.9286631473819367,0.4540996790265818,1.0,1.0,0.41148798535874953,0.33140407775896097,0.9851261695454518,0.8128072409670813,0.0,0.9568444029770535,0.0,0.011592837594164492,0.16044521874661105,0.33140407775896097
Apulia,INFR,INFR mix,2025.5,0.5270096077665577,0.4086953544833223,0.7577358347994009,0.3988283705260893,0.9269219526454245,0.9269219526454245,0.4530618668682572,1.0,1.0,0.4086953544833223,0.33233843373785177,0.9839062768521589,0.8117150090225103,0.0,0.9620287171616185,0.0,0.00942651154928073,0.15770195267353176,0.33233843373785177
Apulia,INFR,INFR mix,2025.75,0.5265949055350118,0.4059283525907004,0.7566113614729486,0.39880798556949126,0.9250936329588005,0.9250936329588005,0.4520348218152416,1.0,1.0,0.4059283525907004,0.3333335617453563,0.9826351555741101,0.8105567221064739,0.0,0.9674580774276842,0.0,0.007157879147778687,0.15479691237866147,0.3333335617453563
Apulia,INFR,INFR mix,2026.0,0.5261725481987022,0.40318689738317454,0.7554753360713791,0.3987821104916595,0.9231714812538406,0.9231714812538406,0.45101830171988033,1.0,1.0,0.40318689738317454,0.33438496590018196,0.9813077330895156,0.8093319610199959,0.0,0.973108558450424,0.0,0.004779802383413905,0.15174100768122206,0.33438496590018196
